Block Length,Block Swap,Average Difference,Average Difference MSE,Average Difference MAPE
3,2,0.005587641263052404,5.233988708869155e-05,0.012666319608179717
3,3,0.008577281437679073,0.0001270840390108578,0.019539195000174352
3,4,0.010658644150749874,0.0002045107265810104,0.023837521518929358
4,2,0.0054275907167729886,5.0951363463026997e-05,0.01221884995086652
4,3,0.007830143225943149,0.00010429019471574481,0.017415498029605223
4,4,0.012851031142971113,0.00035130843992719005,0.027843299650415116
5,2,0.004242533826472542,3.120924222100618e-05,0.009672892968400081
5,3,0.007997120276771729,0.0001135566267802228,0.0176877726447528
5,4,0.008212952572144673,0.00013665069138425685,0.01804630145265008
